Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Kerala,184.47,89,Large,2023-06-11,7,Lassi,Dodla Dairy,523.19,19.59,10249.29,45,Refrigerated,2023-04-23,2023-06-07,239.73,19.54,4684.32,Madhya Pradesh,Retail,283.46,58.01,179.52
West Bengal,243.19,30,Medium,2019-02-01,2,Butter,Sudha,332.04,64.44,21396.66,71,Refrigerated,2019-01-16,2019-03-28,124.51,62.27,7753.24,Kerala,Retail,207.53,74.64,168.28
Gujarat,22.46,31,Large,2023-06-20,2,Butter,Sudha,571.39,73.0,41711.47,72,Frozen,2023-04-24,2023-07-05,67.93,77.21,5244.88,Maharashtra,Retail,503.46,42.07,119.54
Jharkhand,693.71,45,Small,2021-03-22,8,Buttermilk,Dynamix Dairies,144.1,25.24,3637.08,9,Tetra Pack,2021-03-20,2021-03-29,79.71,26.53,2114.71,Delhi,Wholesale,64.39,91.98,121.38
Gujarat,137.43,96,Small,2023-02-18,4,Yogurt,Dynamix Dairies,574.73,72.24,41518.5,75,Ambient,2023-02-07,2023-04-23,431.51,65.94,28453.77,Chandigarh,Wholesale,143.22,62.4,159.23
Karnataka,122.77,93,Small,2023-01-07,2,Butter,Dodla Dairy,884.73,17.74,15695.11,59,Polythene Packet,2022-12-20,2023-02-17,102.65,17.05,1750.18,Bihar,Wholesale,782.08,16.06,37.87
Delhi,447.88,101,Small,2021-03-05,10,Ghee,Britannia Industries,634.63,16.08,10204.85,113,Tetra Pack,2021-03-02,2021-06-23,375.53,14.97,5621.68,Uttar Pradesh,Retail,259.1,97.19,45.76
Uttar Pradesh,800.24,107,Medium,2020-05-26,2,Butter,Sudha,302.52,64.44,19494.39,50,Polythene Packet,2020-04-05,2020-05-25,92.01,62.04,5708.3,Uttar Pradesh,Online,210.51,87.7,176.22
Telangana,599.07,57,Large,2021-09-27,6,Curd,Mother Dairy,617.07,75.34,46490.05,138,Ambient,2021-09-17,2022-02-02,282.88,75.44,21340.47,Rajasthan,Retail,334.19,55.35,58.15
Maharashtra,548.07,64,Small,2024-10-04,6,Curd,Raj,235.78,93.13,21958.19,88,Frozen,2024-08-18,2024-11-14,28.37,87.93,2494.57,Kerala,Wholesale,207.41,84.42,130.7
Rajasthan,317.91,65,Small,2020-01-13,3,Cheese,Passion Cheese,266.03,47.9,12742.84,147,Frozen,2020-01-10,2020-06-05,106.86,50.45,5391.09,Gujarat,Wholesale,159.17,55.9,93.24
Chandigarh,70.27,119,Large,2019-04-25,9,Paneer,Sudha,841.03,63.74,53607.25,72,Refrigerated,2019-03-18,2019-05-29,807.91,64.49,52102.12,Gujarat,Online,33.12,59.67,56.66
Madhya Pradesh,574.37,33,Small,2019-11-17,2,Butter,Amul,684.35,36.22,24787.16,132,Ambient,2019-10-26,2020-03-06,639.08,37.25,23805.73,Karnataka,Retail,45.27,59.8,181.98
Madhya Pradesh,527.31,37,Small,2021-04-09,3,Cheese,Dynamix Dairies,743.45,93.13,69237.5,113,Ambient,2021-02-28,2021-06-21,254.2,84.22,21408.72,Rajasthan,Retail,489.25,31.42,91.1
Bihar,94.05,96,Large,2022-06-10,5,Ice Cream,Amul,128.69,39.91,5136.02,71,Refrigerated,2022-04-29,2022-07-09,75.25,39.1,2942.28,Maharashtra,Retail,53.44,24.77,117.89
Haryana,450.41,22,Medium,2022-02-06,4,Yogurt,Britannia Industries,290.13,17.43,5056.97,106,Polythene Packet,2022-01-01,2022-04-17,196.49,16.36,3214.58,Karnataka,Wholesale,93.64,94.73,94.34
Karnataka,661.21,68,Medium,2020-10-12,4,Yogurt,Dynamix Dairies,226.26,61.71,13962.5,20,Frozen,2020-09-07,2020-09-27,73.94,62.76,4640.47,Maharashtra,Online,152.32,40.1,92.45
Uttar Pradesh,35.82,70,Small,2020-10-15,5,Ice Cream,Amul,229.93,99.36,22845.84,142,Frozen,2020-09-28,2021-02-17,66.04,92.45,6105.4,Karnataka,Online,163.89,53.62,173.99
Jharkhand,388.2,118,Large,2019-03-17,9,Paneer,Dynamix Dairies,120.67,28.68,3460.82,121,Frozen,2019-02-12,2019-06-13,6.34,30.87,195.72,Jharkhand,Wholesale,114.33,31.5,133.4
Maharashtra,718.44,86,Medium,2021-05-07,7,Lassi,Dodla Dairy,539.97,28.58,15432.34,58,Tetra Pack,2021-05-02,2021-06-29,86.21,30.08,2593.2,Maharashtra,Online,453.76,81.89,117.34
Madhya Pradesh,842.46,78,Large,2024-10-20,1,Milk,Sudha,244.78,75.36,18446.62,115,Ambient,2024-10-13,2025-02-05,156.17,81.82,12777.83,Jharkhand,Online,88.61,63.86,30.14
Tamil Nadu,59.35,72,Small,2024-02-16,1,Milk,Sudha,369.22,53.1,19605.58,63,Refrigerated,2023-12-22,2024-02-23,119.7,55.47,6639.76,Rajasthan,Wholesale,249.52,50.74,160.57
Haryana,532.19,64,Medium,2019-05-13,5,Ice Cream,Sudha,91.41,81.16,7418.84,97,Frozen,2019-03-26,2019-07-01,45.49,77.14,3509.1,Karnataka,Retail,45.92,47.74,39.11
Haryana,856.85,45,Large,2023-12-17,10,Ghee,Dynamix Dairies,924.28,47.11,43542.83,39,Tetra Pack,2023-11-03,2023-12-12,641.97,47.86,30724.68,Rajasthan,Wholesale,282.31,58.1,73.96
Rajasthan,800.88,81,Small,2022-01-16,2,Butter,Sudha,697.07,16.28,11348.3,96,Ambient,2021-12-01,2022-03-07,634.54,16.58,10520.67,Karnataka,Wholesale,62.53,73.0,193.12
Rajasthan,750.13,28,Large,2021-02-17,1,Milk,Dodla Dairy,470.99,66.77,31448.0,55,Ambient,2021-02-07,2021-04-03,283.46,65.85,18665.84,Haryana,Wholesale,187.53,13.81,171.5
Rajasthan,538.16,53,Medium,2021-08-09,5,Ice Cream,Raj,997.77,84.24,84052.14,133,Polythene Packet,2021-06-25,2021-11-05,105.6,81.19,8573.66,Uttar Pradesh,Retail,892.17,7.69,182.81
Telangana,414.44,92,Small,2022-11-03,5,Ice Cream,Dynamix Dairies,631.45,66.88,42231.38,45,Ambient,2022-09-21,2022-11-05,253.95,70.64,17939.03,Delhi,Wholesale,377.5,65.84,136.62
Maharashtra,894.28,63,Small,2019-12-21,1,Milk,Sudha,85.03,37.04,3149.51,131,Refrigerated,2019-11-13,2020-03-23,57.69,38.8,2238.37,Bihar,Online,27.34,25.36,20.73
Bihar,804.59,82,Small,2021-07-15,7,Lassi,Mother Dairy,119.93,17.97,2155.14,112,Polythene Packet,2021-06-13,2021-10-03,48.8,17.93,874.98,Madhya Pradesh,Wholesale,71.13,50.57,44.13
Uttar Pradesh,309.28,27,Small,2021-03-25,9,Paneer,Raj,812.86,96.77,78660.46,73,Ambient,2021-03-24,2021-06-05,240.64,104.45,25134.85,Bihar,Retail,572.22,69.79,111.17
Uttar Pradesh,57.87,70,Medium,2024-12-16,10,Ghee,Dodla Dairy,336.08,33.08,11117.53,49,Tetra Pack,2024-11-23,2025-01-11,206.31,30.65,6323.4,Gujarat,Online,129.77,37.45,97.54
Delhi,98.84,68,Small,2023-06-06,8,Buttermilk,Sudha,985.88,61.92,61045.69,43,Frozen,2023-05-23,2023-07-05,362.42,63.75,23104.28,Gujarat,Online,623.46,73.98,48.99
Rajasthan,328.46,83,Small,2022-09-05,8,Buttermilk,Amul,209.64,84.87,17792.15,2,Frozen,2022-08-21,2022-08-23,70.17,85.08,5970.06,Madhya Pradesh,Online,139.47,82.07,95.38
Kerala,402.47,74,Large,2024-09-01,7,Lassi,Sudha,284.06,23.89,6786.19,21,Ambient,2024-08-16,2024-09-06,134.59,21.76,2928.68,Kerala,Retail,149.47,74.11,20.43
Bihar,806.45,83,Large,2022-12-14,1,Milk,Dynamix Dairies,485.81,31.83,15463.33,146,Frozen,2022-11-07,2023-04-02,316.77,29.27,9271.86,Gujarat,Online,169.04,45.79,158.67
Uttar Pradesh,262.89,112,Small,2023-09-05,6,Curd,Dynamix Dairies,652.85,95.93,62627.9,98,Polythene Packet,2023-08-30,2023-12-06,579.47,98.45,57048.82,Tamil Nadu,Online,73.38,36.67,121.31
Madhya Pradesh,490.35,23,Large,2019-09-29,3,Cheese,Dynamix Dairies,626.89,19.89,12468.84,138,Ambient,2019-08-24,2020-01-09,119.43,20.94,2500.86,Uttar Pradesh,Retail,507.46,60.99,95.04
Telangana,525.47,78,Small,2023-09-12,3,Cheese,Dodla Dairy,852.9,22.26,18985.55,83,Tetra Pack,2023-08-02,2023-10-24,161.14,23.57,3798.07,Haryana,Wholesale,691.76,94.26,24.96
Kerala,609.53,34,Small,2020-06-16,9,Paneer,Dodla Dairy,418.65,82.07,34358.61,50,Polythene Packet,2020-06-03,2020-07-23,170.36,78.23,13327.26,Madhya Pradesh,Online,248.29,20.39,146.2
Delhi,739.81,93,Small,2022-03-01,2,Butter,Sudha,186.76,33.64,6282.61,63,Refrigerated,2022-02-23,2022-04-27,87.73,32.57,2857.37,Telangana,Wholesale,99.03,87.84,74.27
Tamil Nadu,373.29,25,Small,2020-01-20,8,Buttermilk,Dodla Dairy,476.55,85.87,40921.35,138,Frozen,2020-01-01,2020-05-18,457.94,84.57,38727.99,Haryana,Wholesale,18.61,36.13,182.84
Bihar,344.41,99,Small,2020-12-15,9,Paneer,Amul,172.38,77.01,13274.98,125,Tetra Pack,2020-10-26,2021-02-28,37.47,80.99,3034.7,Jharkhand,Wholesale,134.91,36.0,26.04
Delhi,85.11,113,Small,2019-02-13,8,Buttermilk,Sudha,393.4,18.54,7293.64,103,Tetra Pack,2019-01-12,2019-04-25,140.62,19.41,2729.43,Telangana,Retail,252.78,49.12,93.76
Karnataka,778.12,57,Large,2024-11-30,3,Cheese,Dynamix Dairies,234.35,98.52,23088.16,144,Refrigerated,2024-11-17,2025-04-10,24.93,91.99,2293.31,West Bengal,Wholesale,209.42,41.0,116.26
Telangana,657.78,86,Small,2024-05-20,3,Cheese,Dodla Dairy,729.26,29.14,21250.64,22,Polythene Packet,2024-05-15,2024-06-06,260.86,31.46,8206.66,Uttar Pradesh,Online,468.4,87.67,180.48
Maharashtra,431.18,23,Large,2022-01-06,8,Buttermilk,Raj,382.1,21.89,8364.17,59,Frozen,2021-12-10,2022-02-07,258.41,21.97,5677.27,Karnataka,Wholesale,123.69,71.65,139.54
Tamil Nadu,171.19,41,Medium,2023-08-27,6,Curd,Raj,360.89,47.47,17131.45,134,Polythene Packet,2023-07-03,2023-11-14,43.18,44.8,1934.46,Rajasthan,Retail,317.71,64.96,27.69
Karnataka,801.95,96,Medium,2022-05-27,2,Butter,Amul,752.43,38.53,28991.13,61,Refrigerated,2022-04-27,2022-06-27,144.31,35.95,5187.94,Karnataka,Online,608.12,52.15,103.55
Jharkhand,335.58,85,Large,2020-05-05,3,Cheese,Mother Dairy,740.19,20.58,15233.11,142,Ambient,2020-03-21,2020-08-10,489.68,19.5,9548.76,Delhi,Online,250.51,36.03,116.67
West Bengal,195.4,96,Medium,2023-07-15,10,Ghee,Raj,851.15,25.59,21780.93,113,Ambient,2023-07-14,2023-11-04,788.87,25.18,19863.75,Tamil Nadu,Wholesale,62.28,99.21,75.24
Haryana,279.54,32,Large,2023-04-25,1,Milk,Mother Dairy,708.83,17.79,12610.09,116,Polythene Packet,2023-03-17,2023-07-11,441.02,16.3,7188.63,Rajasthan,Wholesale,267.81,37.03,162.65
Kerala,666.11,113,Large,2024-05-17,3,Cheese,Britannia Industries,546.69,40.0,21867.6,100,Frozen,2024-04-09,2024-07-18,431.54,38.7,16700.6,Kerala,Wholesale,115.15,62.58,183.58
