product_id,product_name,category,price,quantity,total_amount,color,brand,size
P001,Wireless Mouse,Electronics,19.99,1,19.99,Black,Logi,None
P002,Laptop Sleeve,Accessories,15.49,2,30.98,Grey,CaseMate,13-inch
P003,Running Shoes,Sports,59.99,1,59.99,Blue,Nike,9
P004,Bluetooth Headphones,Electronics,39.99,1,39.99,Black,Sony,None
P005,Cotton T-Shirt,Clothing,12.99,3,38.97,White,H&M,L
P006,LED Desk Lamp,Home,24.99,1,24.99,White,Philips,None
P007,Notebook Pack,Stationery,7.99,4,31.96,Multi,Classmate,A5
P008,Stainless Water Bottle,Outdoors,14.49,2,28.98,Silver,Milton,1L
P009,USB-C Charger,Electronics,18.99,1,18.99,White,Anker,None
P010,Yoga Mat,Sports,21.99,1,21.99,Purple,Reebok,Standard
P011,Scented Candles Set,Home,16.49,1,16.49,Beige,Aroma,None
P012,Winter Jacket,Clothing,79.99,1,79.99,Black,Woodland,XL
P013,Wireless Keyboard,Electronics,29.99,1,29.99,Black,Logi,None
P014,Phone Case,Accessories,9.99,2,19.98,Blue,Spigen,Medium
