product_id,product_name,category,price,quantity,total_amount,color,brand,size
P001,Wireless Mouse,Electronics,19.99,1,19.99,Black,Logi,None
P002,Laptop Sleeve,Accessories,15.49,2,30.98,Grey,CaseMate,13-inch
P003,Running Shoes,Sports,59.99,1,59.99,Blue,Nike,9
P004,Bluetooth Headphones,Electronics,39.99,1,39.99,Black,Sony,None
P005,Cotton T-Shirt,Clothing,12.99,3,38.97,White,H&M,L
P006,LED Desk Lamp,Home,24.99,1,24.99,White,Philips,None
P007,Notebook Pack,Stationery,7.99,4,31.96,Multi,Classmate,A5
P008,Stainless Water Bottle,Outdoors,14.49,2,28.98,Silver,Milton,1L
P009,USB-C Charger,Electronics,18.99,1,18.99,White,Anker,None
P010,Yoga Mat,Sports,21.99,1,21.99,Purple,Reebok,Standard
P011,Scented Candles Set,Home,16.49,1,16.49,Beige,Aroma,None
P012,Winter Jacket,Clothing,79.99,1,79.99,Black,Woodland,XL
P013,Wireless Keyboard,Electronics,29.99,1,29.99,Black,Logi,None
P014,Phone Case,Accessories,9.99,2,19.98,Blue,Spigen,Medium
P015,Gaming Mousepad,Electronics,11.99,1,11.99,Black,Razer,Large
P016,Stickers Pack,Stationery,4.99,3,14.97,Multi,Generic,None
P017,Travel Backpack,Outdoors,34.99,1,34.99,Grey,Wildcraft,30L
P018,Sports Shorts,Clothing,17.99,2,35.98,Black,Adidas,M
P019,Coffee Mug,Home,8.99,2,17.98,White,ClayCraft,300ml
P020,USB Flash Drive 64GB,Electronics,12.99,1,12.99,Silver,Sandisk,64GB
P021,Notebook Planner,Stationery,10.99,1,10.99,Black,Paperhaus,A5
P022,Smartwatch Band,Accessories,14.99,1,14.99,Black,Mi,None
P023,Digital Alarm Clock,Home,22.49,1,22.49,Black,Philips,None
P024,Trail Running Backpack,Outdoors,44.99,1,44.99,Blue,Decathlon,20L
P025,Wireless Earbuds,Electronics,49.99,1,49.99,White,Boat,None
P026,Thermal Hoodie,Clothing,29.99,1,29.99,Grey,Puma,L
P027,Sketchbook,Stationery,6.99,2,13.98,White,Artline,A4
P028,Jump Rope,Sports,9.49,1,9.49,Black,Generic,Standard
P029,Desk Organizer,Home,18.49,1,18.49,Brown,HomeMate,None
P030,Waterproof Phone Pouch,Outdoors,12.99,1,12.99,Blue,AquaSafe,Universal
P031,Portable Speaker,Electronics,34.99,1,34.99,Black,JBL,None
P032,Tote Bag,Accessories,11.49,1,11.49,Beige,Zara,Large
P033,Denim Jeans,Clothing,39.99,1,39.99,Blue,Levis,32
P034,Resistance Bands,Sports,15.99,1,15.99,Multi,FitLife,Standard
P035,Table Lamp,Home,27.99,1,27.99,Gold,Ikea,None
P036,Pens Set,Stationery,5.99,3,17.97,Multi,Parker,Fine
P037,Neck Pillow,Accessories,13.99,1,13.99,Grey,TravelPro,Standard
P038,Running Socks,Sports,12.49,2,24.98,Black,Nike,Free-size
P039,Laptop Stand,Electronics,23.99,1,23.99,Silver,Portronics,None
P040,Camping Flashlight,Outdoors,19.99,1,19.99,Black,Eveready,None
P041,Casual Shirt,Clothing,22.99,1,22.99,Blue,AllenSolly,L
P042,Sticky Notes Pack,Stationery,3.99,4,15.96,Yellow,3M,Standard
P043,Cozy Blanket,Home,28.99,1,28.99,Beige,HomeCentre,Medium
P044,Sports Bottle,Sports,10.49,2,20.98,Green,Nike,750ml
P045,Wireless Charger,Electronics,24.99,1,24.99,Black,Anker,None
P046,Backpack Rain Cover,Outdoors,9.99,1,9.99,Blue,Wildcraft,Universal
P047,Beanie Hat,Clothing,8.99,1,8.99,Grey,H&M,Free-size
P048,Mechanical Keyboard,Electronics,59.99,1,59.99,Black,Redragon,None
P049,Premium Markers,Stationery,13.99,1,13.99,Multi,Sharpie,Fine
P050,Ceramic Vase,Home,19.49,1,19.49,White,DecoCraft,Medium
